community_area,primary type,total_crimes,features,prediction
34,560,1413,[34.0],3
16,820,1686,[16.0],1
28,2024,2012,[28.0],4
26,486,1353,[26.0],4
44,2826,159,[44.0],0
23,1153,313,[23.0],4
42,870,2996,[42.0],0
24,5011,203,[24.0],4
27,820,3980,[27.0],4
4,1544,5,[4.0],2
39,430,47,[39.0],3
17,470,183,[17.0],1
49,1365,95,[49.0],0
45,620,171,[45.0],0
27,1305,105,[27.0],4
32,890,1005,[32.0],3
41,810,1197,[41.0],0
24,1506,816,[24.0],4
26,1120,42,[26.0],4
20,454,75,[20.0],1
3,5110,18,[3.0],2
24,1220,39,[24.0],4
8,460,1561,[8.0],2
11,320,168,[11.0],1
18,580,13,[18.0],1
37,2014,324,[37.0],3
33,2825,143,[33.0],3
5,2826,203,[5.0],2
49,330,30,[49.0],0
15,497,125,[15.0],1
43,1153,440,[43.0],0
22,470,134,[22.0],4
33,1780,20,[33.0],3
5,860,486,[5.0],2
43,031A,134,[43.0],0
19,486,603,[19.0],1
28,610,624,[28.0],4
10,482,2,[10.0],2
6,141C,17,[6.0],2
3,051A,391,[3.0],2
30,1153,222,[30.0],4
40,1156,34,[40.0],3
7,281,110,[7.0],2
32,1780,11,[32.0],3
42,2850,85,[42.0],0
38,1350,14,[38.0],3
7,860,222,[7.0],2
29,1153,712,[29.0],4
28,033A,72,[28.0],4
50,1152,57,[50.0],0
3,2093,84,[3.0],2
20,545,115,[20.0],1
39,1750,29,[39.0],3
25,1122,40,[25.0],4
2,1821,18,[2.0],2
6,041A,313,[6.0],2
24,1360,83,[24.0],4
17,1506,163,[17.0],1
24,1661,114,[24.0],4
20,281,125,[20.0],1
8,281,118,[8.0],2
8,1090,9,[8.0],2
46,326,10,[46.0],0
1,1822,5,[1.0],2
9,263,6,[9.0],2
40,051A,57,[40.0],3
3,1750,49,[3.0],2
13,1121,21,[13.0],1
5,5002,137,[5.0],2
16,1821,107,[16.0],1
46,1210,87,[46.0],0
41,2826,162,[41.0],0
27,430,300,[27.0],4
36,4387,80,[36.0],3
31,1811,205,[31.0],3
29,4387,153,[29.0],4
12,320,161,[12.0],1
6,2851,13,[6.0],2
19,2820,178,[19.0],1
16,554,44,[16.0],1
39,141A,12,[39.0],3
30,5002,58,[30.0],4
49,520,80,[49.0],0
18,1562,25,[18.0],1
18,1821,14,[18.0],1
34,312,27,[34.0],3
31,930,73,[31.0],3
11,915,34,[11.0],1
48,1020,4,[48.0],0
20,1754,58,[20.0],1
12,497,40,[12.0],1
37,4310,2,[37.0],3
35,581,1,[35.0],3
40,1206,10,[40.0],3
15,313,53,[15.0],1
46,330,25,[46.0],0
14,545,27,[14.0],1
43,545,20,[43.0],0
3,033A,50,[3.0],2
24,1025,18,[24.0],4
48,325,4,[48.0],0
9,5111,38,[9.0],2
31,1752,80,[31.0],3
25,4386,2,[25.0],4
42,2090,22,[42.0],0
36,630,54,[36.0],3
11,337,4,[11.0],1
32,2850,9,[32.0],3
41,495,9,[41.0],0
38,558,4,[38.0],3
47,915,3,[47.0],0
19,051A,47,[19.0],1
9,1242,10,[9.0],2
37,1345,35,[37.0],3
47,650,5,[47.0],0
18,485,7,[18.0],1
6,1792,3,[6.0],2
42,462,14,[42.0],0
9,3960,13,[9.0],2
34,1661,20,[34.0],3
4,2890,6,[4.0],2
47,495,9,[47.0],0
40,440,7,[40.0],3
26,496,16,[26.0],4
30,142A,1,[30.0],4
49,2093,16,[49.0],0
16,1590,3,[16.0],1
22,033A,30,[22.0],4
49,1025,4,[49.0],0
3,041B,3,[3.0],2
13,031B,4,[13.0],1
30,930,50,[30.0],4
31,2027,21,[31.0],3
20,5004,11,[20.0],1
35,2027,23,[35.0],3
22,5011,15,[22.0],4
35,1540,3,[35.0],3
18,554,15,[18.0],1
27,500N,2,[27.0],4
34,141A,22,[34.0],3
37,031B,8,[37.0],3
47,5007,3,[47.0],0
9,1570,9,[9.0],2
36,550,3,[36.0],3
45,331,3,[45.0],0
36,915,16,[36.0],3
29,263,5,[29.0],4
33,1812,18,[33.0],3
45,312,18,[45.0],0
38,143A,22,[38.0],3
37,1562,39,[37.0],3
27,1680,2,[27.0],4
20,865,6,[20.0],1
37,1780,28,[37.0],3
15,3970,4,[15.0],1
41,4255,6,[41.0],0
37,263,2,[37.0],3
41,320,33,[41.0],0
2,110,2,[2.0],2
12,4255,3,[12.0],1
22,1754,52,[22.0],4
19,264,1,[19.0],1
30,1340,3,[30.0],4
18,4386,2,[18.0],1
12,141B,3,[12.0],1
47,4389,2,[47.0],0
24,271,2,[24.0],4
39,2850,3,[39.0],3
14,1110,34,[14.0],1
27,918,2,[27.0],4
14,1025,5,[14.0],1
44,555,1,[44.0],0
14,1195,1,[14.0],1
29,915,29,[29.0],4
4,033B,3,[4.0],2
2,2250,10,[2.0],2
29,2025,16,[29.0],4
38,1220,12,[38.0],3
3,1535,1,[3.0],2
0,110,46,[0.0],2
37,890,403,[37.0],3
9,920,140,[9.0],2
16,470,141,[16.0],1
35,1130,101,[35.0],3
10,1130,102,[10.0],2
25,1121,64,[25.0],4
47,1350,24,[47.0],0
20,2027,171,[20.0],1
12,870,30,[12.0],1
41,1152,54,[41.0],0
22,1130,103,[22.0],4
27,479,20,[27.0],4
26,880,19,[26.0],4
36,930,44,[36.0],3
28,2050,29,[28.0],4
19,1130,124,[19.0],1
33,1155,4,[33.0],3
33,1121,21,[33.0],3
30,1122,39,[30.0],4
2,2860,9,[2.0],2
28,453,13,[28.0],4
17,1305,21,[17.0],1
2,1751,11,[2.0],2
3,2890,14,[3.0],2
16,2860,19,[16.0],1
29,479,11,[29.0],4
26,488,2,[26.0],4
50,1512,1,[50.0],0
11,2850,5,[11.0],1
19,1140,10,[19.0],1
48,1350,42,[48.0],0
48,2210,5,[48.0],0
10,143C,6,[10.0],2
3,483,11,[3.0],2
23,485,4,[23.0],4
17,2013,11,[17.0],1
10,330,25,[10.0],2
10,2027,54,[10.0],2
15,2826,137,[15.0],1
45,1310,542,[45.0],0
42,930,47,[42.0],0
30,1152,65,[30.0],4
10,3731,49,[10.0],2
30,1562,39,[30.0],4
40,031A,97,[40.0],3
2,041A,143,[2.0],2
24,2825,296,[24.0],4
21,4625,114,[21.0],4
28,5002,239,[28.0],4
1,486,698,[1.0],2
12,5007,6,[12.0],1
9,265,25,[9.0],2
47,560,349,[47.0],0
28,041A,706,[28.0],4
12,1020,38,[12.0],1
17,033A,47,[17.0],1
31,560,621,[31.0],3
14,2826,121,[14.0],1
30,560,555,[30.0],4
11,890,359,[11.0],1
6,1153,788,[6.0],2
48,890,743,[48.0],0
6,266,38,[6.0],2
48,810,672,[48.0],0
48,530,40,[48.0],0
30,1210,23,[30.0],4
6,498,63,[6.0],2
1,1150,317,[1.0],2
25,850,33,[25.0],4
7,1153,757,[7.0],2
31,1477,59,[31.0],3
44,1570,23,[44.0],0
40,143A,38,[40.0],3
6,265,33,[6.0],2
28,620,315,[28.0],4
9,051A,381,[9.0],2
14,850,19,[14.0],1
48,320,122,[48.0],0
29,1210,39,[29.0],4
20,1563,63,[20.0],1
21,530,117,[21.0],4
9,2027,236,[9.0],2
17,2024,300,[17.0],1
23,2027,30,[23.0],4
13,5002,80,[13.0],1
47,470,18,[47.0],0
26,2825,171,[26.0],4
3,2024,245,[3.0],2
9,630,69,[9.0],2
21,281,97,[21.0],4
37,1753,24,[37.0],3
36,5002,52,[36.0],3
42,1780,22,[42.0],0
8,454,63,[8.0],2
20,1025,11,[20.0],1
13,041A,31,[13.0],1
11,630,27,[11.0],1
10,5111,33,[10.0],2
23,483,2,[23.0],4
18,920,72,[18.0],1
31,141A,16,[31.0],3
2,326,52,[2.0],2
37,1822,76,[37.0],3
7,430,218,[7.0],2
31,143A,104,[31.0],3
31,2093,20,[31.0],3
43,041B,1,[43.0],0
34,1710,50,[34.0],3
6,5131,11,[6.0],2
6,5000,42,[6.0],2
22,1753,16,[22.0],4
25,334,9,[25.0],4
38,1811,176,[38.0],3
47,2826,128,[47.0],0
27,2890,15,[27.0],4
42,1122,177,[42.0],0
35,2825,155,[35.0],3
46,502P,12,[46.0],0
37,1206,32,[37.0],3
48,2014,3,[48.0],0
17,1755,3,[17.0],1
16,1220,30,[16.0],1
40,3710,5,[40.0],3
31,470,38,[31.0],3
10,3710,19,[10.0],2
5,1755,5,[5.0],2
27,331,8,[27.0],4
11,312,26,[11.0],1
3,580,20,[3.0],2
46,1350,33,[46.0],0
6,5110,24,[6.0],2
34,479,14,[34.0],3
20,5007,20,[20.0],1
42,4625,2,[42.0],0
18,1564,2,[18.0],1
9,2022,23,[9.0],2
25,1812,27,[25.0],4
22,502P,70,[22.0],4
25,2022,58,[25.0],4
6,1020,39,[6.0],2
24,580,17,[24.0],4
22,143C,6,[22.0],4
38,5000,21,[38.0],3
6,325,41,[6.0],2
27,2900,4,[27.0],4
13,1780,55,[13.0],1
16,033A,37,[16.0],1
15,143B,12,[15.0],1
50,1562,16,[50.0],0
36,1563,20,[36.0],3
13,530,40,[13.0],1
10,4386,6,[10.0],2
38,1544,5,[38.0],3
7,5000,33,[7.0],2
46,3731,11,[46.0],0
22,330,30,[22.0],4
14,2890,2,[14.0],1
34,326,44,[34.0],3
45,496,13,[45.0],0
12,1570,14,[12.0],1
50,281,43,[50.0],0
19,031A,57,[19.0],1
39,1305,48,[39.0],3
30,1156,28,[30.0],4
5,1790,13,[5.0],2
14,2027,14,[14.0],1
45,502P,31,[45.0],0
46,4625,30,[46.0],0
24,440,30,[24.0],4
21,452,3,[21.0],4
21,3960,4,[21.0],4
28,4220,2,[28.0],4
17,1725,2,[17.0],1
1,850,52,[1.0],2
22,5007,6,[22.0],4
24,495,26,[24.0],4
37,5110,14,[37.0],3
50,5000,16,[50.0],0
43,5093,1,[43.0],0
18,1752,36,[18.0],1
20,1090,10,[20.0],1
16,264,5,[16.0],1
41,2028,43,[41.0],0
10,2021,15,[10.0],2
42,3730,9,[42.0],0
5,1566,1,[5.0],2
43,2250,20,[43.0],0
1,2240,2,[1.0],2
14,1210,17,[14.0],1
14,281,51,[14.0],1
5,1661,13,[5.0],2
2,2210,7,[2.0],2
46,340,24,[46.0],0
40,1200,6,[40.0],3
27,1025,12,[27.0],4
14,5007,7,[14.0],1
38,1710,18,[38.0],3
31,2090,4,[31.0],3
38,141A,5,[38.0],3
30,5001,10,[30.0],4
36,3710,6,[36.0],3
5,4388,1,[5.0],2
48,1195,9,[48.0],0
21,552,3,[21.0],4
21,141C,14,[21.0],4
38,2031,2,[38.0],3
7,880,50,[7.0],2
36,484,24,[36.0],3
24,5004,6,[24.0],4
39,2070,1,[39.0],3
43,4386,5,[43.0],0
18,870,28,[18.0],1
47,141C,6,[47.0],0
23,502T,4,[23.0],4
34,1206,7,[34.0],3
25,325,19,[25.0],4
27,1245,3,[27.0],4
15,261,7,[15.0],1
46,1792,1,[46.0],0
7,2851,5,[7.0],2
1,5111,2,[1.0],2
7,850,13,[7.0],2
32,3960,5,[32.0],3
38,895,2,[38.0],3
19,1310,546,[19.0],1
15,1350,17,[15.0],1
9,1360,69,[9.0],2
18,520,75,[18.0],1
38,880,12,[38.0],3
17,2093,54,[17.0],1
46,2825,160,[46.0],0
20,440,20,[20.0],1
16,1156,20,[16.0],1
25,1152,53,[25.0],4
48,1121,22,[48.0],0
14,2092,2,[14.0],1
15,1365,121,[15.0],1
36,1120,58,[36.0],3
22,1152,36,[22.0],4
26,334,5,[26.0],4
27,1195,14,[27.0],4
17,2011,3,[17.0],1
32,650,6,[32.0],3
9,1790,15,[9.0],2
18,2021,10,[18.0],1
29,498,46,[29.0],4
27,2011,4,[27.0],4
44,1261,3,[44.0],0
27,2091,16,[27.0],4
32,1345,19,[32.0],3
26,2870,5,[26.0],4
11,1753,7,[11.0],1
20,895,3,[20.0],1
30,1240,2,[30.0],4
28,462,6,[28.0],4
7,2890,9,[7.0],2
1,291,2,[1.0],2
43,1140,11,[43.0],0
13,496,14,[13.0],1
17,560,1803,[17.0],1
42,486,970,[42.0],0
48,820,1092,[48.0],0
19,810,673,[19.0],1
47,5002,11,[47.0],0
25,1320,1122,[25.0],4
19,1153,413,[19.0],1
6,1330,414,[6.0],2
21,910,1281,[21.0],4
5,850,28,[5.0],2
32,810,2629,[32.0],3
11,031B,2,[11.0],1
21,1305,91,[21.0],4
47,910,397,[47.0],0
45,3710,8,[45.0],0
2,860,2169,[2.0],2
36,560,509,[36.0],3
37,2825,294,[37.0],3
20,820,2217,[20.0],1
21,810,1335,[21.0],4
26,1152,41,[26.0],4
13,560,487,[13.0],1
16,2826,175,[16.0],1
15,530,109,[15.0],1
1,1210,56,[1.0],2
17,1661,76,[17.0],1
36,4230,3,[36.0],3
44,320,307,[44.0],0
15,870,41,[15.0],1
10,502P,75,[10.0],2
50,486,732,[50.0],0
14,143A,132,[14.0],1
28,496,165,[28.0],4
30,430,79,[30.0],4
10,1330,196,[10.0],2
28,497,188,[28.0],4
41,520,38,[41.0],0
19,143A,42,[19.0],1
36,1365,74,[36.0],3
5,2825,335,[5.0],2
24,1305,31,[24.0],4
13,051A,123,[13.0],1
18,2023,13,[18.0],1
2,4386,18,[2.0],2
25,1345,50,[25.0],4
42,1156,198,[42.0],0
3,1122,74,[3.0],2
21,2093,41,[21.0],4
9,454,78,[9.0],2
20,554,30,[20.0],1
19,1360,111,[19.0],1
18,143A,168,[18.0],1
2,5002,155,[2.0],2
10,4220,1,[10.0],2
12,890,276,[12.0],1
27,4510,37,[27.0],4
5,1150,221,[5.0],2
7,453,7,[7.0],2
36,1156,44,[36.0],3
22,2014,20,[22.0],4
29,2093,101,[29.0],4
14,470,83,[14.0],1
7,554,21,[7.0],2
6,312,58,[6.0],2
24,2091,29,[24.0],4
2,496,46,[2.0],2
21,502R,66,[21.0],4
13,326,9,[13.0],1
31,850,22,[31.0],3
27,4650,24,[27.0],4
16,1812,121,[16.0],1
26,2022,54,[26.0],4
12,313,25,[12.0],1
33,1122,37,[33.0],3
27,4210,2,[27.0],4
49,2820,206,[49.0],0
4,920,179,[4.0],2
20,312,63,[20.0],1
33,630,30,[33.0],3
3,1821,23,[3.0],2
23,326,14,[23.0],4
45,340,9,[45.0],0
44,1206,17,[44.0],0
11,330,35,[11.0],1
2,2017,46,[2.0],2
46,1563,34,[46.0],0
24,5110,26,[24.0],4
42,1812,21,[42.0],0
23,1156,35,[23.0],4
37,2034,4,[37.0],3
49,1750,34,[49.0],0
35,5002,40,[35.0],3
25,2027,29,[25.0],4
16,5110,27,[16.0],1
17,2031,7,[17.0],1
23,1210,49,[23.0],4
19,920,27,[19.0],1
40,1154,96,[40.0],3
36,420,16,[36.0],3
13,1330,83,[13.0],1
1,2820,156,[1.0],2
23,1121,27,[23.0],4
15,2027,200,[15.0],1
4,930,101,[4.0],2
31,430,71,[31.0],3
37,453,6,[37.0],3
28,1585,9,[28.0],4
21,5110,23,[21.0],4
5,263,7,[5.0],2
19,1811,63,[19.0],1
4,520,92,[4.0],2
13,470,38,[13.0],1
15,1506,108,[15.0],1
48,630,16,[48.0],0
45,1152,63,[45.0],0
3,2022,27,[3.0],2
7,1090,10,[7.0],2
40,915,10,[40.0],3
34,453,6,[34.0],3
48,2093,20,[48.0],0
4,5001,15,[4.0],2
8,261,17,[8.0],2
39,870,33,[39.0],3
17,483,13,[17.0],1
33,1220,11,[33.0],3
31,263,3,[31.0],3
38,265,16,[38.0],3
46,545,14,[46.0],0
1,917,55,[1.0],2
46,143A,37,[46.0],0
50,1792,5,[50.0],0
18,1661,15,[18.0],1
36,1195,9,[36.0],3
16,580,12,[16.0],1
49,1110,25,[49.0],0
17,263,4,[17.0],1
4,470,41,[4.0],2
24,552,4,[24.0],4
46,1811,210,[46.0],0
12,1780,17,[12.0],1
35,5004,3,[35.0],3
37,4650,19,[37.0],3
7,1340,11,[7.0],2
14,2851,5,[14.0],1
50,2170,5,[50.0],0
47,1780,12,[47.0],0
45,141A,3,[45.0],0
1,1582,5,[1.0],2
37,143B,10,[37.0],3
11,1365,51,[11.0],1
43,1792,5,[43.0],0
35,880,35,[35.0],3
19,2090,9,[19.0],1
9,141C,23,[9.0],2
35,326,19,[35.0],3
27,553,9,[27.0],4
42,2025,10,[42.0],0
5,2851,5,[5.0],2
1,2210,4,[1.0],2
37,1205,3,[37.0],3
8,2090,10,[8.0],2
21,4650,25,[21.0],4
11,265,10,[11.0],1
41,1513,2,[41.0],0
24,4651,30,[24.0],4
42,2040,3,[42.0],0
50,266,16,[50.0],0
13,2028,10,[13.0],1
14,4388,6,[14.0],1
28,1200,10,[28.0],4
18,326,37,[18.0],1
10,2170,10,[10.0],2
22,2170,4,[22.0],4
5,110,8,[5.0],2
3,1537,2,[3.0],2
16,1206,6,[16.0],1
23,1900,1,[23.0],4
12,4230,1,[12.0],1
12,1536,1,[12.0],1
35,291,4,[35.0],3
49,1780,8,[49.0],0
12,1340,5,[12.0],1
29,2840,2,[29.0],4
41,1055,1,[41.0],0
21,5131,7,[21.0],4
13,1540,3,[13.0],1
11,4651,20,[11.0],1
32,2830,3,[32.0],3
31,4386,2,[31.0],3
9,1535,2,[9.0],2
33,1240,2,[33.0],3
23,5011,6,[23.0],4
29,2900,1,[29.0],4
10,917,5,[10.0],2
30,1754,40,[30.0],4
37,1090,9,[37.0],3
40,2018,2,[40.0],3
1,1562,14,[1.0],2
49,1242,16,[49.0],0
39,850,18,[39.0],3
26,2090,3,[26.0],4
4,2830,3,[4.0],2
46,1754,12,[46.0],0
17,1590,2,[17.0],1
28,501H,1,[28.0],4
2,452,1,[2.0],2
30,3730,1,[30.0],4
10,880,25,[10.0],2
17,1345,72,[17.0],1
39,1360,60,[39.0],3
40,1155,7,[40.0],3
8,1121,39,[8.0],2
48,1360,31,[48.0],0
1,334,11,[1.0],2
16,1120,37,[16.0],1
33,1305,117,[33.0],3
13,430,64,[13.0],1
40,520,42,[40.0],3
21,583,2,[21.0],4
22,141B,4,[22.0],4
33,530,36,[33.0],3
5,1220,15,[5.0],2
17,1780,51,[17.0],1
30,485,2,[30.0],4
50,1811,102,[50.0],0
1,479,8,[1.0],2
21,1751,22,[21.0],4
12,1751,34,[12.0],1
47,033A,11,[47.0],0
46,496,15,[46.0],0
29,1155,20,[29.0],4
17,1480,8,[17.0],1
10,1156,22,[10.0],2
37,1200,15,[37.0],3
37,461,2,[37.0],3
32,1150,305,[32.0],3
2,820,3973,[2.0],2
17,620,488,[17.0],1
9,520,135,[9.0],2
17,486,4105,[17.0],1
21,620,385,[21.0],4
24,1821,233,[24.0],4
9,2825,328,[9.0],2
7,1365,155,[7.0],2
32,5002,23,[32.0],3
6,1821,99,[6.0],2
30,2820,233,[30.0],4
24,520,257,[24.0],4
5,265,26,[5.0],2
21,486,2899,[21.0],4
2,430,248,[2.0],2
45,610,400,[45.0],0
2,910,1165,[2.0],2
6,530,144,[6.0],2
30,5122,1,[30.0],4
5,420,83,[5.0],2
12,281,51,[12.0],1
15,1752,84,[15.0],1
10,498,78,[10.0],2
23,2826,119,[23.0],4
2,1153,978,[2.0],2
2,2021,6,[2.0],2
17,520,195,[17.0],1
42,2820,425,[42.0],0
10,4650,17,[10.0],2
2,4625,30,[2.0],2
31,460,740,[31.0],3
10,320,137,[10.0],2
32,610,624,[32.0],3
20,890,652,[20.0],1
16,530,130,[16.0],1
17,610,1182,[17.0],1
7,051A,413,[7.0],2
31,334,11,[31.0],3
21,1153,874,[21.0],4
40,870,49,[40.0],3
7,041A,219,[7.0],2
44,031A,161,[44.0],0
2,031B,4,[2.0],2
19,1152,41,[19.0],1
31,4625,37,[31.0],3
15,1130,102,[15.0],1
29,1121,57,[29.0],4
5,2017,44,[5.0],2
24,1210,93,[24.0],4
44,1153,480,[44.0],0
7,485,10,[7.0],2
20,2170,11,[20.0],1
16,2018,8,[16.0],1
50,890,409,[50.0],0
22,915,34,[22.0],4
38,2890,7,[38.0],3
48,620,214,[48.0],0
11,1210,38,[11.0],1
9,281,98,[9.0],2
27,4625,143,[27.0],4
40,4387,75,[40.0],3
30,484,22,[30.0],4
50,320,97,[50.0],0
47,320,88,[47.0],0
48,2826,143,[48.0],0
28,1245,4,[28.0],4
16,265,34,[16.0],1
40,1152,73,[40.0],3
10,1360,43,[10.0],2
5,498,66,[5.0],2
27,920,147,[27.0],4
27,915,62,[27.0],4
34,583,2,[34.0],3
11,865,5,[11.0],1
19,1780,65,[19.0],1
21,334,6,[21.0],4
30,2012,18,[30.0],4
3,5011,36,[3.0],2
5,555,4,[5.0],2
6,1154,209,[6.0],2
28,3731,208,[28.0],4
10,2826,172,[10.0],2
48,1155,7,[48.0],0
46,2850,8,[46.0],0
48,554,6,[48.0],0
22,1110,16,[22.0],4
42,331,18,[42.0],0
27,264,3,[27.0],4
35,530,40,[35.0],3
25,033A,29,[25.0],4
16,1792,9,[16.0],1
34,2092,17,[34.0],3
26,1582,10,[26.0],4
20,483,9,[20.0],1
35,2826,125,[35.0],3
16,143B,15,[16.0],1
42,920,34,[42.0],0
46,2026,1,[46.0],0
32,312,21,[32.0],3
43,520,23,[43.0],0
30,502R,40,[30.0],4
11,2093,25,[11.0],1
15,1261,1,[15.0],1
45,1792,8,[45.0],0
20,553,7,[20.0],1
23,1752,44,[23.0],4
23,1122,33,[23.0],4
22,930,43,[22.0],4
9,1751,33,[9.0],2
21,5001,34,[21.0],4
13,880,24,[13.0],1
23,495,7,[23.0],4
25,331,7,[25.0],4
7,558,8,[7.0],2
10,051B,10,[10.0],2
36,1710,9,[36.0],3
39,2031,12,[39.0],3
12,330,27,[12.0],1
11,554,14,[11.0],1
23,340,11,[23.0],4
1,2890,5,[1.0],2
12,502R,23,[12.0],1
22,551,1,[22.0],4
20,2021,18,[20.0],1
25,2028,5,[25.0],4
2,291,12,[2.0],2
12,1345,24,[12.0],1
38,2220,1,[38.0],3
5,485,8,[5.0],2
44,530,20,[44.0],0
45,4255,4,[45.0],0
11,266,22,[11.0],1
44,558,3,[44.0],0
27,1540,3,[27.0],4
6,1030,1,[6.0],2
37,501A,19,[37.0],3
7,2090,5,[7.0],2
41,1090,2,[41.0],0
40,1220,16,[40.0],3
18,502T,5,[18.0],1
26,3960,2,[26.0],4
33,033A,17,[33.0],3
33,1566,1,[33.0],3
10,1562,36,[10.0],2
42,5110,1,[42.0],0
43,326,9,[43.0],0
14,1753,14,[14.0],1
15,1512,13,[15.0],1
37,143C,8,[37.0],3
47,497,9,[47.0],0
37,2031,5,[37.0],3
11,1710,6,[11.0],1
25,1720,1,[25.0],4
32,265,7,[32.0],3
50,2090,5,[50.0],0
6,558,5,[6.0],2
12,1477,42,[12.0],1
47,580,6,[47.0],0
28,1541,3,[28.0],4
3,1792,4,[3.0],2
10,331,2,[10.0],2
7,1755,7,[7.0],2
47,3731,5,[47.0],0
9,3730,6,[9.0],2
47,1570,13,[47.0],0
32,4650,1,[32.0],3
21,1720,1,[21.0],4
7,1544,7,[7.0],2
12,1242,2,[12.0],1
20,2250,2,[20.0],1
34,1792,7,[34.0],3
12,1535,1,[12.0],1
3,4652,8,[3.0],2
46,1821,18,[46.0],0
30,266,38,[30.0],4
10,1310,1158,[10.0],2
42,880,182,[42.0],0
44,1310,511,[44.0],0
15,1152,101,[15.0],1
27,1751,24,[27.0],4
37,440,10,[37.0],3
37,479,12,[37.0],3
26,1121,24,[26.0],4
33,041A,44,[33.0],3
8,450,1,[8.0],2
32,880,24,[32.0],3
20,1753,32,[20.0],1
8,1754,26,[8.0],2
41,1220,35,[41.0],0
40,1121,24,[40.0],3
7,1110,28,[7.0],2
8,1812,66,[8.0],2
1,1241,1,[1.0],2
8,143B,7,[8.0],2
34,1790,17,[34.0],3
49,2013,2,[49.0],0
45,479,3,[45.0],0
17,141C,20,[17.0],1
29,143B,8,[29.0],4
34,1541,2,[34.0],3
15,1821,60,[15.0],1
9,650,28,[9.0],2
17,051B,20,[17.0],1
43,331,8,[43.0],0
39,1155,3,[39.0],3
7,1255,1,[7.0],2
34,1320,1285,[34.0],3
39,1153,253,[39.0],3
43,810,2198,[43.0],0
43,620,300,[43.0],0
34,486,2701,[34.0],3
34,860,825,[34.0],3
46,860,633,[46.0],0
24,610,734,[24.0],4
32,630,58,[32.0],3
26,810,992,[26.0],4
49,4625,35,[49.0],0
37,1811,681,[37.0],3
10,031A,205,[10.0],2
13,2024,17,[13.0],1
42,560,1524,[42.0],0
19,460,526,[19.0],1
49,2027,72,[49.0],0
17,2820,551,[17.0],1
50,1120,70,[50.0],0
14,1310,711,[14.0],1
9,610,894,[9.0],2
47,620,326,[47.0],0
42,1220,72,[42.0],0
27,1811,701,[27.0],4
10,460,997,[10.0],2
29,910,1103,[29.0],4
1,530,54,[1.0],2
7,3731,101,[7.0],2
17,502P,149,[17.0],1
4,620,296,[4.0],2
18,5002,103,[18.0],1
21,2826,232,[21.0],4
10,560,1090,[10.0],2
27,1365,147,[27.0],4
25,2890,2,[25.0],4
7,1330,286,[7.0],2
22,051A,173,[22.0],4
49,1156,39,[49.0],0
21,1477,42,[21.0],4
30,2850,3,[30.0],4
15,1661,48,[15.0],1
25,041A,131,[25.0],4
4,2820,456,[4.0],2
18,1156,41,[18.0],1
4,340,36,[4.0],2
49,502P,47,[49.0],0
8,2093,54,[8.0],2
16,1750,81,[16.0],1
29,4386,3,[29.0],4
41,291,4,[41.0],0
30,890,273,[30.0],4
20,501A,23,[20.0],1
37,470,120,[37.0],3
33,1310,495,[33.0],3
16,3710,62,[16.0],1
3,520,131,[3.0],2
9,1753,19,[9.0],2
20,2017,75,[20.0],1
14,420,39,[14.0],1
39,1365,48,[39.0],3
46,1152,141,[46.0],0
43,484,17,[43.0],0
32,326,23,[32.0],3
30,1330,116,[30.0],4
14,2820,212,[14.0],1
23,1305,176,[23.0],4
41,470,67,[41.0],0
48,5001,12,[48.0],0
38,920,45,[38.0],3
12,1753,18,[12.0],1
34,4650,23,[34.0],3
2,1477,19,[2.0],2
34,1752,41,[34.0],3
17,4651,33,[17.0],1
1,1754,17,[1.0],2
6,484,90,[6.0],2
47,430,32,[47.0],0
24,1563,61,[24.0],4
36,1751,14,[36.0],3
49,143A,55,[49.0],0
17,488,3,[17.0],1
12,1152,33,[12.0],1
42,5002,46,[42.0],0
5,917,9,[5.0],2
36,281,36,[36.0],3
4,1156,67,[4.0],2
49,1822,24,[49.0],0
26,4625,40,[26.0],4
37,650,19,[37.0],3
47,630,39,[47.0],0
19,5001,20,[19.0],1
13,320,128,[13.0],1
1,313,37,[1.0],2
33,4387,57,[33.0],3
46,5110,1,[46.0],0
17,557,5,[17.0],1
21,1360,99,[21.0],4
8,1710,39,[8.0],2
15,340,32,[15.0],1
6,1110,53,[6.0],2
38,2093,18,[38.0],3
9,1710,45,[9.0],2
49,1821,14,[49.0],0
26,2210,7,[26.0],4
20,313,68,[20.0],1
14,2017,6,[14.0],1
22,041B,2,[22.0],4
44,2870,10,[44.0],0
34,440,15,[34.0],3
32,281,58,[32.0],3
23,5002,84,[23.0],4
33,2210,3,[33.0],3
22,331,3,[22.0],4
21,266,32,[21.0],4
23,1754,33,[23.0],4
22,502R,29,[22.0],4
43,553,2,[43.0],0
37,550,3,[37.0],3
12,630,12,[12.0],1
2,2028,14,[2.0],2
40,1477,21,[40.0],3
34,920,112,[34.0],3
40,502R,13,[40.0],3
9,2028,27,[9.0],2
46,502T,1,[46.0],0
15,917,5,[15.0],1
48,501A,7,[48.0],0
13,2870,5,[13.0],1
19,2851,4,[19.0],1
14,4650,6,[14.0],1
30,143C,1,[30.0],4
15,5001,26,[15.0],1
46,2230,2,[46.0],0
4,850,35,[4.0],2
4,630,39,[4.0],2
40,850,24,[40.0],3
48,4651,10,[48.0],0
31,917,17,[31.0],3
4,2027,36,[4.0],2
35,5132,1,[35.0],3
41,1020,8,[41.0],0
