community_area,primary type,total_crimes,features,prediction
48,500E,1,[48.0],0
9,1585,5,[9.0],2
7,337,2,[7.0],2
8,141B,49,[8.0],2
17,1206,2,[17.0],1
35,2017,4,[35.0],3
26,5093,1,[26.0],4
1,1370,1,[1.0],2
40,2050,2,[40.0],3
11,041B,1,[11.0],1
28,2210,3,[28.0],4
39,502R,4,[39.0],3
41,1512,1,[41.0],0
11,2026,4,[11.0],1
3,462,5,[3.0],2
50,501A,2,[50.0],0
16,1544,8,[16.0],1
36,326,11,[36.0],3
10,031B,4,[10.0],2
42,2091,32,[42.0],0
4,895,6,[4.0],2
33,2013,2,[33.0],3
43,3300,1,[43.0],0
22,557,1,[22.0],4
26,1200,4,[26.0],4
47,557,1,[47.0],0
21,1375,1,[21.0],4
47,2021,1,[47.0],0
12,142,2,[12.0],1
10,552,1,[10.0],2
20,1791,2,[20.0],1
44,2830,4,[44.0],0
7,041B,1,[7.0],2
19,2050,1,[19.0],1
43,1090,1,[43.0],0
31,1544,6,[31.0],3
20,3970,6,[20.0],1
31,3975,1,[31.0],3
25,1261,1,[25.0],4
46,2032,2,[46.0],0
22,033B,1,[22.0],4
25,1206,10,[25.0],4
50,1507,1,[50.0],0
38,1479,1,[38.0],3
28,5009,1,[28.0],4
44,1240,3,[44.0],0
26,5009,1,[26.0],4
35,1135,2,[35.0],3
39,485,2,[39.0],3
24,033B,1,[24.0],4
23,2032,2,[23.0],4
4,557,1,[4.0],2
20,1435,1,[20.0],1
14,1821,1,[14.0],1
5,3750,1,[5.0],2
15,1720,1,[15.0],1
2,500E,2,[2.0],2
39,4255,2,[39.0],3
17,1520,1,[17.0],1
14,4800,2,[14.0],1
6,272,1,[6.0],2
15,2050,4,[15.0],1
2,041B,1,[2.0],2
29,1535,1,[29.0],4
14,1242,3,[14.0],1
14,041B,2,[14.0],1
49,5110,4,[49.0],0
1,1505,2,[1.0],2
34,5121,1,[34.0],3
42,110,6,[42.0],0
41,1840,1,[41.0],0
11,475,1,[11.0],1
23,502R,2,[23.0],4
11,1220,8,[11.0],1
41,482,1,[41.0],0
50,2010,1,[50.0],0
16,2033,1,[16.0],1
16,488,1,[16.0],1
6,502T,2,[6.0],2
46,5130,1,[46.0],0
49,1512,2,[49.0],0
49,1544,3,[49.0],0
38,927,1,[38.0],3
46,4388,1,[46.0],0
30,2090,1,[30.0],4
30,5130,1,[30.0],4
24,2870,4,[24.0],4
44,2015,2,[44.0],0
42,2080,1,[42.0],0
30,2870,1,[30.0],4
35,3970,4,[35.0],3
1,557,1,[1.0],2
32,051B,2,[32.0],3
30,4255,2,[30.0],4
8,275,2,[8.0],2
35,2020,2,[35.0],3
9,4310,2,[9.0],2
47,4255,1,[47.0],0
35,453,1,[35.0],3
44,1200,3,[44.0],0
19,2021,3,[19.0],1
46,1541,1,[46.0],0
49,462,1,[49.0],0
31,142,1,[31.0],3
44,2210,8,[44.0],0
32,141A,4,[32.0],3
26,935,1,[26.0],4
11,2230,4,[11.0],1
35,5111,2,[35.0],3
37,1580,1,[37.0],3
37,584,1,[37.0],3
9,5073,1,[9.0],2
19,1720,1,[19.0],1
18,1151,1,[18.0],1
19,483,1,[19.0],1
13,2210,1,[13.0],1
23,3960,5,[23.0],4
42,935,2,[42.0],0
22,550,2,[22.0],4
6,1479,2,[6.0],2
18,462,1,[18.0],1
23,3760,1,[23.0],4
43,5114,1,[43.0],0
49,2026,1,[49.0],0
31,1375,1,[31.0],3
33,261,1,[33.0],3
22,1585,2,[22.0],4
7,1205,2,[7.0],2
19,1261,3,[19.0],1
5,1900,2,[5.0],2
33,143C,1,[33.0],3
11,5111,4,[11.0],1
43,1375,1,[43.0],0
40,1151,2,[40.0],3
29,1010,1,[29.0],4
9,2026,1,[9.0],2
2,3100,1,[2.0],2
23,1710,5,[23.0],4
50,2900,1,[50.0],0
15,5112,1,[15.0],1
11,291,2,[11.0],1
46,5094,1,[46.0],0
44,1541,1,[44.0],0
8,263,3,[8.0],2
19,2890,3,[19.0],1
5,502T,1,[5.0],2
20,3800,2,[20.0],1
1,5114,1,[1.0],2
32,918,1,[32.0],3
48,4240,1,[48.0],0
40,1566,1,[40.0],3
29,895,1,[29.0],4
5,5112,1,[5.0],2
1,558,2,[1.0],2
7,1479,3,[7.0],2
31,1140,5,[31.0],3
22,450,1,[22.0],4
43,2012,1,[43.0],0
8,2012,3,[8.0],2
2,5120,1,[2.0],2
24,1725,2,[24.0],4
21,2110,1,[21.0],4
26,2830,2,[26.0],4
40,5093,2,[40.0],3
29,3730,3,[29.0],4
31,495,4,[31.0],3
19,1565,3,[19.0],1
14,555,2,[14.0],1
38,275,1,[38.0],3
50,2860,1,[50.0],0
25,555,1,[25.0],4
3,4388,1,[3.0],2
14,557,1,[14.0],1
45,2870,3,[45.0],0
44,1512,1,[44.0],0
35,502T,2,[35.0],3
44,2010,1,[44.0],0
31,5111,3,[31.0],3
50,337,2,[50.0],0
9,2160,1,[9.0],2
26,1753,18,[26.0],4
15,2230,5,[15.0],1
25,2031,1,[25.0],4
41,2830,2,[41.0],0
20,2033,1,[20.0],1
33,2091,3,[33.0],3
22,1206,3,[22.0],4
38,2850,1,[38.0],3
42,918,4,[42.0],0
20,2220,1,[20.0],1
24,584,2,[24.0],4
29,5130,2,[29.0],4
6,5132,1,[6.0],2
36,5093,1,[36.0],3
4,2031,1,[4.0],2
44,275,1,[44.0],0
13,264,1,[13.0],1
40,5007,2,[40.0],3
20,5132,1,[20.0],1
22,4388,2,[22.0],4
44,1540,1,[44.0],0
37,2840,1,[37.0],3
49,2091,4,[49.0],0
39,461,1,[39.0],3
41,3800,3,[41.0],0
38,502T,2,[38.0],3
36,3970,5,[36.0],3
46,1752,16,[46.0],0
16,2034,1,[16.0],1
42,2013,1,[42.0],0
4,1261,3,[4.0],2
29,1564,3,[29.0],4
12,552,2,[12.0],1
36,1535,1,[36.0],3
41,1751,3,[41.0],0
26,331,4,[26.0],4
47,2870,2,[47.0],0
9,4510,1,[9.0],2
38,1822,4,[38.0],3
5,4652,2,[5.0],2
39,2018,1,[39.0],3
47,502T,1,[47.0],0
24,1549,2,[24.0],4
25,5114,1,[25.0],4
45,1460,3,[45.0],0
15,584,1,[15.0],1
24,1242,4,[24.0],4
20,1725,1,[20.0],1
42,500E,2,[42.0],0
29,2015,11,[29.0],4
47,1140,12,[47.0],0
23,331,2,[23.0],4
13,1753,10,[13.0],1
40,2020,4,[40.0],3
10,1479,1,[10.0],2
6,925,2,[6.0],2
17,499,2,[17.0],1
26,925,4,[26.0],4
2,840,127,[2.0],2
